,episode,steps,meanepreward,meaneplen,#parallel_run
0,0,5149,-5.4170731707317,62.792682926829265,0
1,1,10273,-5.328395061728388,63.25925925925926,0
2,2,15452,-4.072941176470581,60.92941176470588,0
3,3,20574,-4.891463414634139,62.46341463414634,0
4,4,25696,-3.333333333333327,58.87356321839081,0
5,5,30865,-2.461538461538457,56.8021978021978,0
6,6,35990,-0.7819999999999956,51.25,0
7,7,41160,0.8848214285714321,46.160714285714285,0
8,8,46290,2.1637168141592946,45.39823008849557,0
9,9,51461,4.3768115942029,37.471014492753625,0
10,10,56607,6.462209302325581,29.91860465116279,0
11,11,61753,6.606593406593407,28.274725274725274,0
12,12,66879,7.797356828193832,22.58149779735683,0
13,13,72005,7.805394190871369,21.269709543568464,0
14,14,77141,8.1375,18.88235294117647,0
15,15,82266,8.332758620689654,17.67241379310345,0
16,16,87400,8.400324675324676,16.66883116883117,0
17,17,92533,8.500934579439251,15.990654205607477,0
18,18,97696,8.506481481481483,15.935185185185185,0
19,19,102817,8.566766467065868,15.332335329341317,0
20,20,107945,8.497499999999999,16.025,0
21,21,113074,8.582544378698223,15.174556213017752,0
22,22,118195,8.689256198347106,14.107438016528926,0
23,23,123327,8.682320441988951,14.176795580110497,0
24,24,128449,8.62816091954023,14.718390804597702,0
25,25,133580,8.70570652173913,13.942934782608695,0
26,26,138702,8.822693266832918,12.773067331670823,0
27,27,143834,8.77390180878553,13.260981912144702,0
28,28,148954,8.793877551020408,13.061224489795919,0
29,29,154078,8.841031941031941,12.58968058968059,0
30,30,159216,8.821890547263681,12.781094527363184,0
31,31,164338,8.816290726817043,12.837092731829573,0
32,32,169474,8.865384615384615,12.346153846153847,0
33,33,174598,8.911136890951276,11.88863109048724,0
34,34,179728,8.860869565217392,12.391304347826088,0
35,35,184856,8.833827160493827,12.66172839506173,0
36,36,189988,8.917511520737326,11.824884792626728,0
37,37,195125,8.882701421800947,12.172985781990521,0
38,38,200246,8.892216981132076,12.077830188679245,0
39,39,205370,8.94334085778781,11.566591422121896,0
40,40,210498,8.93718820861678,11.628117913832199,0
41,41,215628,8.949775784753363,11.502242152466367,0
42,42,220748,8.906526806526808,11.934731934731936,0
43,43,225869,8.976973684210526,11.230263157894736,0
44,44,230992,8.897417840375587,12.025821596244132,0
45,45,236122,8.97252747252747,11.274725274725276,0
46,46,241245,8.953914988814319,11.460850111856823,0
47,47,246372,8.999785407725321,11.00214592274678,0
48,48,251497,8.973626373626374,11.263736263736265,0
49,49,256620,8.953914988814319,11.460850111856823,0
50,50,261749,9.004059829059829,10.959401709401709,0
51,51,266875,9.01398305084746,10.860169491525424,0
52,52,272007,8.957015590200445,11.429844097995545,0
53,53,277127,8.969757174392937,11.302428256070641,0
54,54,282255,9.020421052631578,10.795789473684211,0
55,55,287393,9.051428571428573,10.485714285714286,0
56,56,292518,9.030062630480167,10.69937369519833,0
57,57,297648,8.979912663755458,11.200873362445416,0
58,58,302785,9.029791666666664,10.702083333333333,0
59,59,307912,9.027405857740586,10.725941422594142,0
60,60,313037,9.049795081967213,10.50204918032787,0
61,61,318159,9.041735537190084,10.582644628099173,0
62,62,323279,9.035550935550937,10.644490644490645,0
63,63,328405,9.049590163934427,10.504098360655737,0
64,64,333535,9.074,10.26,0
65,65,338667,9.035269709543568,10.647302904564315,0
66,66,343792,9.045473251028808,10.545267489711934,0
67,67,348912,9.071887550200803,10.281124497991968,0
68,68,354032,9.01063829787234,10.893617021276595,0
69,69,359154,9.023949579831932,10.760504201680673,0
70,70,364275,9.054897959183673,10.451020408163265,0
71,71,369396,9.06336032388664,10.366396761133604,0
72,72,374517,9.05276073619632,10.47239263803681,0
73,73,379643,9.07684630738523,10.231536926147704,0
74,74,384770,9.088757396449704,10.112426035502958,0
75,75,389901,9.010615711252655,10.893842887473461,0
76,76,395030,9.063838383838384,10.361616161616162,0
77,77,400156,9.036514522821577,10.634854771784232,0
78,78,405283,9.084752475247525,10.152475247524752,0
79,79,410405,9.0756,10.244,0
80,80,415535,9.076047904191617,10.239520958083832,0
81,81,420662,9.07254509018036,10.274549098196394,0
82,82,425794,9.033056133056133,10.66943866943867,0
83,83,430929,9.073,10.27,0
84,84,436053,9.043505154639176,10.564948453608247,0
85,85,441181,9.070281124497992,10.29718875502008,0
86,86,446305,9.085346534653466,10.146534653465347,0
87,87,451430,9.075,10.25,0
88,88,456560,9.046611909650926,10.53388090349076,0
89,89,461689,9.08234126984127,10.176587301587302,0
90,90,466815,9.084950495049505,10.15049504950495,0
91,91,471943,9.059837728194726,10.401622718052739,0
92,92,477078,9.09115913555992,10.088408644400786,0
93,93,482198,9.082107355864812,10.178926441351889,0
94,94,487318,9.07804391217565,10.219560878243513,0
95,95,492444,9.082936507936509,10.170634920634921,0
96,96,497564,9.088142292490119,10.118577075098814,0
97,97,502687,9.077445109780438,10.225548902195609,0
98,98,507822,9.1125,9.875,0
99,99,512954,9.095694716242662,10.043052837573386,0
100,100,518077,9.116698656429943,9.833013435700575,0
101,101,523197,9.096078431372549,10.03921568627451,0
102,102,528319,9.101559454191033,9.984405458089668,0
103,103,533452,9.093529411764708,10.064705882352941,0
104,104,538582,9.086166007905138,10.138339920948617,0
105,105,543712,9.128409090909091,9.715909090909092,0
106,106,548838,9.14365671641791,9.563432835820896,0
107,107,553965,9.123428571428573,9.765714285714285,0
108,108,559087,9.105436893203882,9.945631067961164,0
109,109,564220,9.091552062868368,10.084479371316306,0
110,110,569346,9.11800766283525,9.81992337164751,0
111,111,574471,9.070883534136549,10.291164658634537,0
112,112,579602,9.115163147792707,9.848368522072937,0
113,113,584724,9.122519083969465,9.774809160305344,0
114,114,589857,9.1296786389414,9.703213610586012,0
115,115,594977,9.109671179883946,9.903288201160542,0
116,116,600105,9.08051689860835,10.1948310139165,0
117,117,605228,9.114807692307693,9.851923076923077,0
118,118,610349,9.109477756286267,9.905222437137331,0
119,119,615478,9.084356435643565,10.156435643564356,0
120,120,620603,9.06881287726358,10.311871227364184,0
121,121,625730,9.136278195488721,9.637218045112782,0
122,122,630854,9.1183908045977,9.816091954022989,0
123,123,635980,9.082936507936507,10.170634920634921,0
124,124,641107,9.115930902111323,9.840690978886757,0
125,125,646239,9.118738049713194,9.812619502868069,0
126,126,651362,9.120458891013385,9.795411089866157,0
127,127,656482,9.12290076335878,9.770992366412214,0
128,128,661611,9.115547024952015,9.844529750479847,0
129,129,666748,9.12152380952381,9.784761904761904,0
130,130,671874,9.078884462151395,10.211155378486056,0
131,131,676998,9.097260273972605,10.027397260273972,0
132,132,682124,9.11800766283525,9.81992337164751,0
133,133,687251,9.076646706586825,10.233532934131736,0
134,134,692376,9.116314779270635,9.836852207293665,0
135,135,697509,9.105232558139534,9.94767441860465,0
